v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
15,16,1.0,False,4.2447,37259.05649780055,9,32598.045466,32597.98340399056,0.062062009437795496,7.905694150420948,-8.36735125631094e-11
16,17,0.9999999999999964,False,4.2447,37259.05649780055,9,33707.864134,33707.81584934116,0.0482846588420216,7.669649888473704,-1.6007106751203537e-10
17,18,0.9999999998534311,False,4.2447,37259.05649780055,9,34630.46241,34630.50469441486,-0.04228441486338852,7.453559924999299,-1.1641532182693481e-10
0,1,1.0000000000000004,False,4.172599999999999,37278.51689533387,10,1142.0542,1142.054813348162,-0.0006133481620054226,30.15113445777636,8.799361239653081e-11
1,2,1.0000000000000004,False,4.172599999999999,37278.51689533387,10,3994.6687,3994.692903817558,-0.024203817557918228,21.32007163556104,1.2278178473934531e-11
2,3,1.0,False,4.172599999999999,37278.51689533387,10,6743.5722,6743.578292282544,-0.006092282544159389,17.407765595569785,3.80168785341084e-10
3,4,0.9999999999999998,False,4.172599999999999,37278.51689533387,10,9389.4493,9389.458211843015,-0.008911843015084742,15.07556722888818,-4.001776687800884e-11
4,5,0.9999999999999997,False,4.172599999999999,37278.51689533387,10,11932.682995,11932.702311141125,-0.01931614112618263,13.48399724926484,-1.1095835361629725e-10
5,6,0.9999999999999997,False,4.172599999999999,37278.51689533387,10,14373.3094,14373.321850257544,-0.012450257543605403,12.309149097933275,-1.6007106751203537e-10
6,7,0.9999999999999999,False,4.172599999999999,37278.51689533387,10,16710.948495,16710.939461053018,0.009033946982526686,11.396057645963795,-1.7462298274040222e-10
7,8,1.0,False,4.172599999999999,37278.51689533387,10,18944.7125,18944.714656118314,-0.0021561183129961137,10.66003581778052,1.2369127944111824e-10
